,YearStart,LocationAbbr,LocationDesc,Data_Value,Total,GeoLocation,ClassID,TopicID,QuestionID,LocationID
833,2015,UT,Utah,74.9,Total,"(39.360700171, -111.587130635)",PA,PA2,Q050,49
754,2015,CO,Colorado,73.8,Total,"(38.843840757, -106.133610921)",PA,PA2,Q050,8
723,2015,OR,Oregon,68.3,Total,"(44.567449424, -120.155031326)",PA,PA2,Q050,41
1500,2015,MA,Massachusetts,66.6,Total,"(42.27687047, -72.082690675)",PA,PA2,Q050,25
727,2015,NV,Nevada,64.6,Total,"(39.49324039, -117.071840564)",PA,PA2,Q050,32
816,2015,SC,South Carolina,16.9,Total,"(33.998821303, -81.045371207)",PA,PA2,Q050,45
948,2015,AR,Arkansas,22.1,Total,"(34.748650124, -92.274490743)",PA,PA2,Q050,5
1335,2015,MS,Mississippi,22.2,Total,"(32.745510099, -89.538030825)",PA,PA2,Q050,28
1384,2015,AL,Alabama,23.2,Total,"(32.840571122, -86.631860762)",PA,PA2,Q050,1
915,2015,TN,Tennessee,25.0,Total,"(35.68094058, -85.774490914)",PA,PA2,Q050,47
